grid,positionOrder,year,round,driverRef,nationalityDriver,constructorRef,nationalityConstructor,circuitRef,location,country,lat,lng,alt,traction,track_evolution,braking,asphalt_grip,lateral,asphalt_abrasion,tyre_stress,downforce,c1_compound,c2_compound,c3_compound,c4_compound,c5_compound,lapsTotal,race_dist,circuit_length,turns,elevation_change,top_speed,tyre_camber_lim_front,tyre_camber_lim_rear,min_starting_press_front,min_starting_press_rear,month,age,firstDriver
7.0,6.0,2022.0,3.0,ricciardo,0,mclaren,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,32,0
4.0,5.0,2022.0,3.0,norris,1,mclaren,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,22,1
13.0,6.0,2023.0,3.0,norris,1,mclaren,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,23,1
16.0,8.0,2023.0,3.0,piastri,0,mclaren,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,22,0
5.0,4.0,2022.0,3.0,hamilton,1,mercedes,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,37,1
3.0,2.0,2023.0,3.0,hamilton,1,mercedes,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,38,1
6.0,3.0,2022.0,3.0,russell,1,mercedes,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,24,0
20.0,10.0,2022.0,3.0,albon,0,williams,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,26,1
5.0,12.0,2023.0,3.0,sainz,1,ferrari,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,28,0
1.0,1.0,2022.0,3.0,leclerc,1,ferrari,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,24,1
8.0,7.0,2022.0,3.0,ocon,1,alpine,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,25,1
4.0,3.0,2023.0,3.0,alonso,1,aston_martin,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,41,0
19.0,12.0,2022.0,3.0,stroll,0,aston_martin,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,23,1
6.0,4.0,2023.0,3.0,stroll,0,aston_martin,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,24,1
12.0,8.0,2022.0,3.0,bottas,1,alfa,1,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,58.0,306.124,5.278,14.0,2.44,326.2,-3.25,-1.75,23.0,21.0,4,32,1
